ticker,current_stage_name,weeks_since_emergence,rvol_at_emergence,mansfield_rp,vol_ratio_4w,market_cap,avg_daily_vol,current_price,is_new
LYV,Stage 2 (advance),3.0,0.87,0.09,0.71,39838104628.95648,2646250.0,170.28,False
IOSP,Stage 2 (advance),2.0,0.87,-4.22,0.68,2030583574.814392,195490.0,82.44,False
GTLS,Stage 2 (advance),1.0,0.86,-6.34,0.71,9993627201.038757,1315480.0,208.78,False
WRLD,Stage 2 (advance),1.0,0.86,7.49,,841383400.3467407,124360.0,181.4,False
DXCM,Stage 2 (advance),1.0,0.85,-9.41,0.77,26575072985.821785,5572360.0,70.01,False
IPAR,Stage 2 (advance),1.0,0.85,-9.97,0.73,3088086030.6599274,253750.0,96.43,False
ASTE,Stage 2 (advance),1.0,0.85,5.87,,1306211341.8755722,187490.0,57.17,False
CSL,Stage 2 (advance),1.0,0.85,-7.39,0.59,14598585023.957397,385300.0,360.6,False
NGVT,Stage 2 (advance),2.0,0.84,8.82,,2575886858.868866,278340.0,73.64,False
UAL,Stage 2 (advance),1.0,0.84,7.15,0.63,38756872409.08984,5765780.0,119.54,False
WKC,Stage 2 (advance),3.0,0.83,10.29,0.95,1616926406.0798798,1167050.0,31.49,False
DOC,Stage 2 (advance),2.0,0.83,4.17,0.64,13764264455.627098,7131650.0,19.76,False
RNR,Stage 2 (advance),3.0,0.83,1.28,,12961936776.56186,371420.0,304.2,False
EMR,Stage 2 (advance),2.0,0.81,-0.54,0.64,84300647923.27881,2774520.0,150.6,False
BROS,Stage 2 (advance),1.0,0.8,6.25,0.71,9344189568.155731,4087650.0,68.11,False
HWKN,Stage 2 (advance),1.0,0.8,-6.1,0.57,3336452299.4384766,123610.0,159.59,False
TNC,Stage 2 (advance),2.0,0.8,5.97,,1553947901.6013947,161550.0,91.2,False
UNH,Stage 2 (advance),3.0,0.79,14.08,,370395763312.54346,7450020.0,404.79,False
FLS,Stage 2 (advance),2.0,0.79,8.93,,10435443459.668037,1819260.0,81.62,False
OZK,Stage 2 (advance),2.0,0.78,-5.27,0.74,5439735751.138687,1218090.0,49.8,False
WSO,Stage 2 (advance),2.0,0.78,-6.9,0.6,16432475038.929382,330550.0,398.96,False
ALGN,Stage 2 (advance),2.0,0.78,-0.66,,12663517740.686829,982910.0,177.76,False
CNS,Stage 2 (advance),2.0,0.77,0.47,0.62,3833572985.147537,276500.0,74.57,False
SFBS,Stage 2 (advance),2.0,0.77,-5.61,0.79,4434248351.895927,302650.0,81.12,False
AXTA,Stage 2 (advance),2.0,0.76,2.71,,7379367022.669983,2891210.0,34.47,False
GTES,Stage 2 (advance),2.0,0.75,4.08,0.6,7155177991.138657,1694130.0,28.08,False
SEIC,Stage 2 (advance),3.0,0.75,-2.9,0.64,10888312370.462402,685930.0,90.49,False
HBAN,Stage 2 (advance),1.0,0.75,-6.06,0.62,34572712779.91616,25179000.0,17.01,False
EAT,Stage 2 (advance),2.0,0.74,3.01,0.49,7152610915.483704,893650.0,166.99,False
ZWS,Stage 2 (advance),2.0,0.73,-2.6,0.61,8355334521.525513,801690.0,49.87,False
GRMN,Stage 2 (advance),3.0,0.71,-6.72,0.63,45465850564.5,810750.0,232.9,False
PENN,Stage 2 (advance),1.0,0.7,16.16,,2844171633.75,3479310.0,21.23,False
EVR,Stage 2 (advance),3.0,0.7,4.62,,14491231967.200684,378640.0,373.96,False
MTCH,Stage 2 (advance),3.0,0.69,-4.9,0.57,8203983292.296234,3274690.0,35.13,False
GEO,Stage 2 (advance),3.0,0.65,38.25,,3960445856.2058716,2538670.0,29.8,False
HUM,Stage 2 (advance),2.0,0.64,28.89,,43170514434.35669,1580460.0,358.46,False
URBN,Stage 2 (advance),2.0,0.63,-7.57,0.47,6220318080.074966,1179680.0,72.64,False
FUN,Stage 2 (advance),1.0,0.6,3.7,,2414057195.8129616,2139290.0,23.65,False
BHF,Stage 2 (advance),2.0,0.5,-1.82,,3622531280.9897804,507700.0,63.06,False
STAA,Stage 2 (advance),3.0,0.47,6.39,,1404782394.0221214,553830.0,28.3,False
MOH,Stage 2 (advance),1.0,0.46,4.14,,10233742658.996582,982320.0,196.62,False
GHC,Stage 2 (advance),3.0,0.44,-3.81,0.52,4925667383.049316,21090.0,1143.62,False
ITGR,Stage 2 (advance),1.0,0.44,-10.13,,3060519485.8003616,334970.0,90.01,False
VC,Stage 2 (advance),0.0,0.27,3.08,,3232245508.345894,452000.0,121.04,False
RBA,Stage 2 (advance),0.0,0.25,-6.19,0.72,20478095658.87451,1040070.0,109.81,False
TMHC,Stage 2 (advance),0.0,0.13,2.53,3.62,6600385899.252869,5379360.0,71.7,False
DKS,Stage 2 (advance),0.0,0.12,2.87,0.66,21589802084.396027,1115000.0,240.65,False
GATX,Stage 2 (advance),0.0,0.09,-4.3,0.98,6391561479.401672,249960.0,180.01,False
CUZ,Stage 2 (advance),0.0,0.09,0.99,0.86,4708321591.1347065,2150770.0,28.61,False
OHI,Stage 2 (advance),0.0,0.08,-3.75,1.07,13457671971.031189,3056380.0,45.22,False
CCK,Stage 2 (advance),0.0,0.08,-7.31,0.69,11515489222.873611,1223810.0,102.99,False
FFIN,Stage 2 (advance),0.0,0.07,-7.07,1.09,4759825889.5047,1014690.0,33.2,False
SWKS,Stage 2 (advance),0.0,0.07,4.87,,11623372637.03897,5269440.0,76.9,False
CR,Stage 2 (advance),0.0,0.07,4.27,1.04,12464117665.16034,576090.0,216.0,False
AVA,Stage 2 (advance),0.0,0.06,-5.95,1.09,3298925974.2845154,993920.0,39.92,False
VVV,Stage 2 (advance),0.0,0.05,-1.98,0.84,4818950725.554539,2482140.0,37.81,False
CBRL,Stage 2 (advance),0.0,0.04,12.72,,1068176293.8633728,2575460.0,48.04,False
KMX,Stage 2 (advance),0.0,0.04,1.11,,7455904191.38166,4850060.0,52.47,False
POR,Stage 2 (advance),0.0,0.04,-2.82,,5833949836.851002,1170780.0,50.41,False
INVH,Stage 2 (advance),0.0,0.04,-7.72,0.91,16903463812.658195,7144630.0,28.39,False
MDLZ,Stage 2 (advance),0.0,0.03,-8.53,0.76,76999731996.98764,10174610.0,60.04,False
WOR,Stage 2 (advance),0.0,0.03,-1.38,0.71,3058510484.1793747,215200.0,61.73,False
VRTX,Stage 2 (advance),0.0,0.03,-5.35,0.71,118156575998.92746,1429800.0,458.58,False
INCY,Stage 2 (advance),0.0,0.03,-1.16,0.92,20649483662.73735,2454250.0,101.76,False
TFC,Stage 2 (advance),0.0,0.03,-4.66,1.07,60867431409.80673,12854800.0,48.83,False
DLTR,Stage 2 (advance),0.0,0.03,-5.06,,22114490127.6297,2413820.0,115.87,False
NWL,Stage 2 (advance),0.0,0.03,2.26,,2086395295.6811676,12896120.0,4.91,False
LGIH,Stage 2 (advance),0.0,0.03,1.29,,1325866155.440071,390690.0,56.58,False
KFY,Stage 2 (advance),0.0,0.03,-6.19,0.92,3623404828.7459946,617350.0,69.84,False
APO,Stage 2 (advance),0.0,0.02,-5.88,0.66,78475561054.53308,3292280.0,135.55,False
GBX,Stage 2 (advance),0.0,0.02,-4.07,0.9,1574232999.7632904,499100.0,50.88,False
GNW,Stage 2 (advance),0.0,0.02,-4.2,0.54,3477724015.258713,3065010.0,9.08,False
JXN,Stage 2 (advance),0.0,0.02,-2.32,0.91,7618039484.042969,705270.0,108.9,False
MGY,Stage 2 (advance),0.0,0.02,-3.6,,4947356565.75,2840600.0,26.74,False
MC,Stage 2 (advance),0.0,0.02,-8.25,0.83,4965734825.874298,1162700.0,66.68,False
ETSY,Stage 2 (advance),0.0,0.01,10.99,,6945455378.570251,3047530.0,73.19,False
RHI,Stage 2 (advance),0.0,0.01,-6.68,,3042722890.6531963,2506780.0,29.71,False
