ticker,passed,score,base_duration_weeks,base_range_pct,vol_ratio_4w,rs_trend,sma30w_slope_pct,price_vs_base_high_pct,current_price,c1_base_downtrend,c2_moving_avg,c3_volume,c4_rel_strength,c5_proximity,c6_no_overhead,up_high_vol_weeks,overhead_count,rs_at_52w_high,current_stage,current_stage_name,weeks_in_stage,stage2_emerged,weeks_since_emergence,rvol_at_emergence,mansfield_rp,market_cap,avg_daily_vol,avg_daily_dollar_vol
KO,False,0,0,,,,,,91.1,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),29,False,,,10.43,391962229472.13086,12841220.0,1169835142.0
CINF,False,35,35,25.64,0.96,rising,18.15,-13.61,168.29,False,False,False,False,False,True,0,0,False,2,Stage 2 (advance),12,False,,,-6.56,25828819162.61879,406960.0,68487298.39999999
COIN,False,0,0,,,,,,186.49,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),1,False,,,-25.4,49202949219.5695,8900880.0,1659925111.2
CL,False,15,26,17.62,0.79,flat,25.41,-7.21,91.08,False,False,False,False,False,False,0,10,False,2,Stage 2 (advance),25,False,,,-2.8,72606502724.98705,3818440.0,347783515.2
FIX,False,0,0,,,,,,1655.61,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),66,False,,,14.39,58268082520.14807,372960.0,617476305.5999999
COP,False,0,0,,,,,,134.87,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),6,False,,,16.41,164311306775.3888,6950060.0,937354592.2
CMCSA,False,0,24,32.92,0.83,rising,-13.13,-15.16,26.85,True,False,False,False,False,True,1,0,False,1,Stage 1 (base),1,False,,,-8.94,95280893338.74742,20994580.0,563704473.0
CEG,False,0,0,,,,,,272.88,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),1,False,,,-20.01,96683399311.5365,2503120.0,683051385.6
CMS,False,45,58,15.68,1.38,falling,8.56,-13.69,68.27,False,False,False,False,False,True,1,0,False,3,Stage 3 (top),4,False,,,-14.51,21407910022.062378,3923690.0,267870316.29999998
ED,False,15,26,8.65,1.11,flat,19.54,-6.98,106.35,False,False,False,False,False,True,0,0,False,3,Stage 3 (top),3,False,,,-6.84,39331274555.23629,2302340.0,244853859.0
CFG,False,0,0,,,,,,69.86,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),23,False,,,6.0,29423410666.74591,2791090.0,194985547.4
CPAY,False,70,37,34.11,1.01,rising,33.77,5.47,417.13,True,False,False,True,True,True,2,0,True,2,Stage 2 (advance),14,False,,,17.0,27388588851.47351,475250.0,198241032.5
CPRT,False,0,0,,,,,,33.8,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),1,False,,,-17.82,31292427385.261894,12077070.0,408204965.99999994
STZ,False,20,40,26.8,0.77,falling,-6.08,-18.36,135.66,True,False,False,False,False,True,0,0,False,4,Stage 4 (decline),1,False,,,-13.62,23167802981.849304,1635720.0,221901775.2
GLW,False,0,0,,,,,,149.84,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,7.62,129070424362.54172,9510800.0,1425098272.0
CTVA,False,0,0,,,,,,81.79,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),1,True,0.0,1.03,-0.09,54569961450.83618,3740850.0,305964121.5
CSGP,False,0,0,,,,,,32.26,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),40,False,,,-45.16,13071673508.769302,5586950.0,180235007.0
CCI,False,20,31,24.7,1.1,falling,-16.5,-19.65,75.51,True,False,False,False,False,False,1,12,False,4,Stage 4 (decline),9,False,,,-20.55,32126141107.76087,2217700.0,167458527.0
COST,False,45,84,24.92,0.83,flat,7.94,-13.43,947.74,False,False,False,False,False,True,0,0,False,3,Stage 3 (top),10,False,,,-9.85,420302597372.1123,1584020.0,1501239114.8
CRWD,False,0,0,,,,,,191.95,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),13,False,,,30.36,195454865688.5193,7284910.0,1398338474.5
CRH,False,20,32,32.85,0.91,falling,-29.68,-26.89,95.07,False,False,False,False,False,True,1,0,False,4,Stage 4 (decline),16,False,,,-23.37,63248598257.74128,4516060.0,429341824.2
CMI,False,0,0,,,,,,587.68,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,-3.6,80902664711.87518,730550.0,429329623.99999994
CSX,False,0,0,,,,,,51.59,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),53,False,,,15.43,95569181250.69524,8594110.0,443370134.90000004
CVS,False,0,0,,,,,,93.02,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),18,False,,,2.14,118969819430.9614,7868610.0,731938102.1999999
DVA,False,0,0,,,,,,173.82,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,2.28,11089716467.285156,739360.0,128515555.19999999
DHR,False,15,21,26.73,1.03,rising,-26.01,4.26,218.85,True,False,False,True,True,False,1,27,False,1,Stage 1 (base),3,False,,,-2.25,153848502208.58636,3270600.0,715770810.0
DDOG,False,0,0,,,,,,235.62,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),14,False,,,28.08,84605255401.58398,5097270.0,1201018757.4
DRI,False,45,63,32.62,0.87,rising,20.01,-3.55,221.6,False,False,False,False,True,True,1,0,False,2,Stage 2 (advance),4,True,3.0,1.17,2.67,25160853822.60388,1036950.0,229788120.0
DECK,False,35,38,30.17,0.84,falling,3.01,-25.03,91.68,True,False,False,False,False,True,0,2,False,3,Stage 3 (top),9,False,,,-19.39,12485152691.319405,2348350.0,215296728.00000003
DE,False,0,0,,,,,,647.47,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),13,False,,,9.36,174776376656.427,1207970.0,782124335.9
DELL,False,0,0,,,,,,442.08,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),22,False,,,87.72,285646635894.0111,5481670.0,2423336673.6
DAL,False,0,0,,,,,,82.41,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),22,False,,,7.13,54194716310.58746,4144890.0,341580384.9
FANG,False,0,0,,,,,,210.72,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),7,False,,,13.49,59005770912.061035,1505040.0,317142028.8
DVN,False,0,0,,,,,,49.1,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),2,True,1.0,0.86,9.42,54009998321.5332,11645370.0,571787667.0
DLR,False,0,0,,,,,,190.62,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),5,False,,,-0.94,70536294062.30273,1920130.0,366015180.6
DG,False,0,24,28.17,0.62,rising,-13.49,-16.49,123.41,True,False,False,False,False,False,0,26,False,4,Stage 4 (decline),2,False,,,-6.78,27222598914.082428,2036770.0,251357785.7
COO,False,0,25,28.42,0.72,rising,-20.47,-9.36,76.22,True,False,False,False,False,False,0,12,False,1,Stage 1 (base),4,False,,,-5.3,14865234856.6745,1713750.0,130622025.0
DXCM,False,0,0,,,,,,92.34,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),10,False,,,20.72,34845491658.163605,5362230.0,495148318.20000005
DHI,False,35,42,26.04,0.79,flat,0.95,-12.88,148.35,False,False,False,False,False,False,0,17,False,1,Stage 1 (base),9,False,,,-11.65,41493684666.61105,1965410.0,291568573.5
DLTR,False,0,0,,,,,,131.48,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),3,False,,,5.66,25267114009.18158,1937950.0,254801665.99999997
